timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz
2244.0,19139,1.179990,,,144.24709569449826,121.82970923533829
2255.0,19238,0.181823,,,137.91838269280592,105.70051994195957
2261.0,19285,1.161891,,,142.38000625076313,120.98192414017446
2271.0,19366,1.212311,,,150.13467330436882,129.46197158384683
2278.0,19426,1.224836,,,144.60529660138852,125.74789029313477
2285.0,19481,1.156084,,,143.7836751498261,112.14600692323918
2294.0,19565,0.107192,,,142.96924703790944,120.12515166760404
2305.0,19664,0.130893,,,139.62236210003468,113.24288578945419
2313.0,19731,1.190037,,,143.66799460357672,124.13854676070707
2321.0,19803,1.243272,,,149.36434672672604,126.56674120767734
2328.0,19855,1.177513,,,142.66893313755628,123.81742441983967
2336.0,19926,1.181218,,,139.70230473750203,106.35031559642054
2344.0,19993,1.232997,,,150.46494228651798,118.43025060899045
2352.0,20068,1.205126,,,143.86353818353194,124.32539795751802
2358.0,20116,1.162377,,,141.1370406355634,119.09052140965356
2367.0,20190,1.174779,,,146.49742658404676,124.45393657397317
2375.0,20261,1.183347,,,151.8894855180222,131.82947540423868
2386.0,20360,0.275204,,,147.90158154973702,127.38642544851676
2393.0,20422,1.222195,,,152.24814111183346,135.11346950505592
2401.0,20484,1.212543,,,152.34387277204394,132.847524106171
2408.0,20543,1.230439,,,148.66030482773473,133.22695072591063
2417.0,20626,1.206452,,,156.46184733879113,136.77392332297032
2422.0,20662,1.140130,,,155.04702686217934,137.3769977897156
2426.0,20698,0.045644,,,152.34190900334738,133.21451486468328
2434.0,20763,1.197205,,,152.867551142814,130.9074644225477
2442.0,20832,1.200197,,,150.22001222876415,131.5731062153228
2449.0,20890,1.154669,,,146.73084103706356,120.39313125016511
2460.0,20989,0.140772,,,151.91220430849987,132.84081273689293
2471.0,21088,0.100312,,,147.67252813777057,126.18614662218279
2482.0,21187,0.125134,,,146.71278751569594,121.64066791864713
2488.0,21230,1.139828,,,147.61056547167263,131.7202589434545
2493.0,21271,1.174383,,,145.3366081811621,128.63308057553036
2501.0,21344,0.158124,,,146.07032789644066,123.77584145614887
2508.0,21402,1.188045,,,145.18641572780086,126.61561525270635
2514.0,21454,1.191912,,,145.70455327429022,125.39649116586043
2525.0,21553,0.095878,,,143.6449948194221,121.7487661630281
2536.0,21652,0.129686,,,147.70093183051807,130.3567465237396
2547.0,21751,0.119924,,,142.7794527040296,122.41833803116789
2559.0,21850,0.103294,,,133.92119724734988,105.09151137903837
2570.0,21949,0.109054,,,93.99979073557587,64.69316458941135
2574.0,21977,0.052709,,,87.86764867676678,67.11840125055153
2585.0,22076,0.084064,,,124.02374334667459,90.00272096156179
2596.0,22175,0.177903,,,143.5676109005798,127.65929959378214
2607.0,22274,0.166988,,,145.63523885372524,127.54597062851997
2618.0,22373,0.127414,,,143.76204026186332,123.41446962974217
2626.0,22437,0.076286,,,147.30409195148826,129.1624054345987
2637.0,22536,0.223926,,,144.4182815568643,124.50247875482792
2643.0,22586,0.115114,,,146.3067885637967,125.11641926562226
2654.0,22685,0.129770,,,140.8681786958055,123.57975044770994
2665.0,22784,0.105419,,,141.92189721471013,121.22791757649914
2676.0,22883,0.104981,,,148.1155775713257,131.01261774973403
2687.0,22982,0.138250,,,137.453154246695,114.9093503112478
2698.0,23081,0.230440,,,138.86514057312078,112.19095654637054
2710.0,23180,0.141400,,,144.85617669908348,124.2399558591077
2721.0,23279,0.163553,,,143.09288125506365,120.92857082930061
2724.0,23300,0.058040,,,141.7537911354945,131.6099276494852
2735.0,23399,0.104262,,,141.1534027500935,119.52278472427541
2746.0,23498,0.172465,,,137.9868428797511,110.2379238643687
2750.0,23526,0.044099,,,133.85933486439123,113.20949565362893
2758.0,23594,0.083250,,,141.7048109444291,121.54612702382948
2769.0,23693,0.101935,,,126.20531751133622,95.33408304072067
2780.0,23792,0.323005,,,138.65243358107398,117.9616166537192
2791.0,23891,0.124595,,,134.51168431164396,103.60692378372116
2802.0,23990,0.367296,,,131.12323331121635,110.28711441267791
2816.0,24089,0.126385,,,27.576418391838935,120.35401314578014
2828.0,24188,0.153950,,,145.44288630441142,127.58122982491183
2840.0,24287,0.296676,,,150.37632632658512,131.0597369724298
2851.0,24386,0.144623,,,143.7383462414562,118.60071742603489
2861.0,24473,0.188766,,,147.3908233519586,133.2318071446537
2865.0,24502,0.054500,,,150.37228678132578,135.4950833163249
2876.0,24601,0.087826,,,139.6252949856711,117.81338360243075
2887.0,24700,0.156765,,,142.58380948889575,123.57836377055634
2899.0,24799,0.168199,,,143.94598644099023,122.94660119728891
2906.0,24863,1.212809,,,144.03655694680674,118.4468664131459
2915.0,24942,1.208629,,,146.23528909977432,126.1194106660715
2924.0,25013,1.190982,,,150.62690120656492,129.74939552522974
2933.0,25097,1.274633,,,144.10464772528496,124.03600765183192
2942.0,25180,1.218361,,,148.60711402520892,126.61395120206409
2947.0,25209,0.090032,,,147.58082258523822,128.11466282965173
2954.0,25274,1.211829,,,144.0046937915709,124.97385859122419
2962.0,25347,1.227805,,,141.91351242364408,125.17319589104058
2973.0,25442,1.190885,,,143.73981447466073,121.18468499904142
2977.0,25475,1.143266,,,144.38356212500216,125.53818848834925
2983.0,25518,1.166427,,,146.3544790837972,130.4073879855487
2991.0,25587,0.167156,,,145.35871487743157,127.94439392866924
3002.0,25686,0.159096,,,137.72275756997007,118.05623060814017
3013.0,25785,0.093275,,,149.19765884578908,126.8235225065261
3024.0,25884,0.149487,,,144.5367578010306,128.12913448461666
3032.0,25954,0.297114,,,152.48081648674003,133.6028280546191
3043.0,26053,0.262595,,,148.6515868607396,132.7565679984364
3054.0,26152,0.067711,,,136.88893653304822,114.35177170991705
3065.0,26251,0.117270,,,147.94017470251924,122.97331975463256
3074.0,26323,0.081893,,,146.80034847408726,127.6794930091362
3085.0,26422,0.101411,,,150.46523828956774,134.17933944167544
3096.0,26521,0.274153,,,146.91859941676975,129.4391814452676
3107.0,26620,0.139003,,,151.11954856917922,134.78110523938494
3118.0,26719,0.219384,,,139.0061942819445,110.0936209737319
3129.0,26818,0.347941,,,149.04363240113713,130.57666835531862
3140.0,26917,0.136135,,,149.85042815714826,129.33782242593895
3151.0,27016,0.134087,,,146.36634742419193,124.25794089532488
3155.0,27046,1.119711,,,152.88679313852754,130.53702828554987
3166.0,27145,0.099787,,,143.63743654684762,122.78118739411588
3177.0,27244,0.078325,,,141.21159617991572,117.79211218766628
3188.0,27343,0.226690,,,141.29606619782692,124.86683576458216
3199.0,27442,0.130048,,,148.04710015921938,131.4857136148092
3210.0,27541,0.156687,,,134.74595548790072,109.10593317378431
3221.0,27640,0.118743,,,140.53665893593762,119.2260152331938
3232.0,27739,0.271462,,,141.5009044673393,118.59473962127956
3243.0,27838,0.209596,,,154.429954028795,133.51991584487374
3255.0,27937,0.378163,,,147.3979327040553,129.10653346697117
3260.0,27976,1.128296,,,144.53114814644852,129.96208564436014
3264.0,28007,1.135403,,,149.09271981930425,125.97277753297222
3271.0,28070,1.176103,,,147.54738688620301,126.41910182513352
3278.0,28127,1.160692,,,148.92240103268045,113.85721298933926
3284.0,28174,1.179310,,,155.90330949669183,133.2188432794197
3289.0,28220,1.181552,,,145.40680972011657,130.0590702255456
3295.0,28270,1.197651,,,147.2137083712829,123.64797278449106
3303.0,28334,1.218330,,,148.98761229717178,129.98895157957924
3310.0,28400,1.226349,,,149.57630234548856,129.69805256031884
3317.0,28455,1.210471,,,145.61367824445583,126.29457624319444
3322.0,28491,1.145019,,,145.36631602913204,123.58962608806095
3329.0,28552,1.200481,,,145.74093024604238,124.3025693608291
3338.0,28632,1.199348,,,146.59784391387865,126.05109756720594
3345.0,28691,1.193322,,,149.3034006929559,130.77400583178758
3352.0,28753,1.189555,,,147.5771982393095,124.11209124572744
3363.0,28852,0.086448,,,145.79318384714549,118.28062551377583
3369.0,28900,1.153348,,,149.32535225983116,131.69598177856025
3376.0,28962,1.182640,,,151.276089082019,126.65712802727732
